INFO: [SIM 2] *************** CSIM start ***************
   Compiling ../../../../counter_tb.cpp in debug mode
   Generating csim.exe
Starting HLS C Simulation...
CLK | INIT | START/STOP | COUNT_OUT
-----------------------------------
 0  |  0   |     0      |    0
 1  |  0   |     0      |    0
 2  |  1   |     0      |    0
 3  |  1   |     0      |    0
 4  |  1   |     0      |    10
 5  |  0   |     0      |    10
 6  |  0   |     0      |    10
 7  |  0   |     0      |    10
 8  |  0   |     1      |    10
 9  |  0   |     1      |    10
 10  |  0   |     1      |    9
 11  |  0   |     0      |    8
 12  |  0   |     0      |    7
 13  |  0   |     0      |    6
 14  |  0   |     1      |    5
 15  |  0   |     1      |    4
 16  |  0   |     1      |    4
 17  |  0   |     0      |    4
 18  |  0   |     0      |    4
 19  |  0   |     0      |    4
 20  |  0   |     0      |    4
 21  |  0   |     0      |    4
 22  |  0   |     0      |    4
 23  |  0   |     0      |    4
 24  |  0   |     0      |    4
 25  |  0   |     0      |    4
 26  |  0   |     0      |    4
 27  |  0   |     0      |    4
 28  |  0   |     0      |    4
 29  |  0   |     0      |    4
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
